Matched locations report
"October 20, 2025 - November 3, 2025"
Matched location,Bid adj.,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
"Idaho Springs, Colorado, United States", --,None,1,11,9.09%,USD,8.17,8.17,0.00%,0.00,0.00
"Lakewood, Colorado, United States", --,None,3,153,1.96%,USD,14.78,44.33,66.67%,2.00,22.16
"Strasburg, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Wiggins, Colorado, United States", --,None,0,3,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Golden, Colorado, United States", --,None,0,21,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Highlands Ranch, Colorado, United States", --,None,0,13,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Divide, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Meridian, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Vail, Colorado, United States", --,None,0,20,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Platteville, Colorado, United States", --,None,0,10,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Grand Junction, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Denver, Colorado, United States", --,None,36,"1,220",2.95%,USD,8.80,316.66,13.51%,5.00,63.33
"Windsor, Colorado, United States", --,None,0,35,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Frederick, Colorado, United States", --,None,0,11,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Estes Park, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Sedalia, Colorado, United States", --,None,1,2,50.00%,USD,13.86,13.86,0.00%,0.00,0.00
"Englewood, Colorado, United States", --,None,0,13,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Grover, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Indian Hills, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Elbert, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Brush, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Foxfield, Colorado, United States", --,None,0,9,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Wheat Ridge, Colorado, United States", --,None,2,34,5.88%,USD,4.79,9.57,0.00%,0.00,0.00
"Air Force Academy, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Falcon, Colorado, United States", --,None,0,11,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Cripple Creek, Colorado, United States", --,None,0,8,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Lafayette, Colorado, United States", --,None,2,12,16.67%,USD,3.56,7.13,0.00%,0.00,0.00
"Fort Collins, Colorado, United States", --,Added,7,120,5.83%,USD,13.52,94.61,21.43%,1.50,63.07
"Longmont, Colorado, United States", --,None,3,75,4.00%,USD,11.14,33.42,33.33%,1.00,33.42
"Elizabeth, Colorado, United States", --,None,1,4,25.00%,USD,5.04,5.04,0.00%,0.00,0.00
"Bailey, Colorado, United States", --,None,0,3,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Parker, Colorado, United States", --,None,0,11,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Louisville, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Colorado Springs, Colorado, United States", --,Added,21,788,2.66%,USD,11.07,232.44,9.52%,2.00,116.22
"Leadville, Colorado, United States", --,None,2,29,6.90%,USD,8.73,17.46,50.00%,1.00,17.46
"Limon, Colorado, United States", --,None,0,3,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Mount Pleasant, Texas, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Tabernash, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Granby, Colorado, United States", --,None,0,7,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Calhan, Colorado, United States", --,None,0,8,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Commerce City, Colorado, United States", --,None,0,53,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Nunn, Colorado, United States", --,None,2,29,6.90%,USD,2.98,5.95,0.00%,0.00,0.00
"Fraser, Colorado, United States", --,None,0,3,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Kersey, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Central City, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Kremmling, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
