Negative keyword report
All time
Negative keyword,Keyword or list,Campaign,Ad group,Level,Match type
[on point auto glass],Keyword,Keywords, --,Campaign,Exact match
[carefree windshield repair],Keyword,Keywords, --,Campaign,Exact match
[pure auto glass],Keyword,Keywords, --,Campaign,Exact match
"""windshield filler""",Keyword,Keywords, --,Campaign,Phrase match
"""commercial glass""",Keyword,Keywords, --,Campaign,Phrase match
"""why""",Keyword,Keywords, --,Campaign,Phrase match
"""longmont""",Keyword,Keywords, --,Campaign,Phrase match
"""lakewood""",Keyword,Keywords, --,Campaign,Phrase match
"""westminster""",Keyword,Keywords, --,Campaign,Phrase match
[krystal vision auto glass],Keyword,Keywords, --,Campaign,Exact match
[kwikset auto glass],Keyword,Keywords, --,Campaign,Exact match
"""semi windshield""",Keyword,Keywords, --,Campaign,Phrase match
"""adas calibration""",Keyword,Keywords, --,Campaign,Phrase match
"""pilkington glass""",Keyword,Keywords, --,Campaign,Phrase match
"""wiper blades""",Keyword,Keywords, --,Campaign,Phrase match
[chihuahua auto glass],Keyword,Keywords, --,Campaign,Exact match
[extreme 1 auto glass],Keyword,Keywords, --,Campaign,Exact match
[caliber auto glass],Keyword,Keywords, --,Campaign,Exact match
"""wiper blade""",Keyword,Keywords, --,Campaign,Phrase match
"""pueblo""",Keyword,Keywords, --,Campaign,Phrase match
"""grand junction""",Keyword,Keywords, --,Campaign,Phrase match
"""mirror""",Keyword,Keywords, --,Campaign,Phrase match
"""home windows""",Keyword,Keywords, --,Campaign,Phrase match
arizona,Keyword,Keywords, --,Campaign,Broad match
[shine auto glass],Keyword,Keywords, --,Campaign,Exact match
[auto glass denver pros],Keyword,Keywords, --,Campaign,Exact match
[colorado auto glass],Keyword,Keywords, --,Campaign,Exact match
"""diy windshield""",Keyword,Keywords, --,Campaign,Phrase match
[anchor auto glass],Keyword,Keywords, --,Campaign,Exact match
"""bulletproof windows""",Keyword,Keywords, --,Campaign,Phrase match
[jiffy auto glass],Keyword,Keywords, --,Campaign,Exact match
"""big rig""",Keyword,Keywords, --,Campaign,Phrase match
hiring,Keyword,Keywords, --,Campaign,Broad match
[andy's auto glass],Keyword,Keywords, --,Campaign,Exact match
"""leer topper""",Keyword,Keywords, --,Campaign,Phrase match
"""fuyao""",Keyword,Keywords, --,Campaign,Phrase match
[absolute auto glass],Keyword,Keywords, --,Campaign,Exact match
[anderson auto glass],Keyword,Keywords, --,Campaign,Exact match
[savelite],Keyword,Keywords, --,Campaign,Exact match
"""windshield replacement tucson""",Keyword,Keywords, --,Campaign,Phrase match
"""triple aaa""",Keyword,Keywords, --,Campaign,Phrase match
"""semi truck""",Keyword,Keywords, --,Campaign,Phrase match
"""auto glass durango""",Keyword,Keywords, --,Campaign,Phrase match
[a better windshield],Keyword,Keywords, --,Campaign,Exact match
"""windshield removal""",Keyword,Keywords, --,Campaign,Phrase match
"""18 wheeler""",Keyword,Keywords, --,Campaign,Phrase match
"""how much""",Keyword,Keywords, --,Campaign,Phrase match
"""auto glass mckinney""",Keyword,Keywords, --,Campaign,Phrase match
"""lamar co""",Keyword,Keywords, --,Campaign,Phrase match
[auto glass pro],Keyword,Keywords, --,Campaign,Exact match
"""repair kit""",Keyword,Keywords, --,Campaign,Phrase match
"""when to""",Keyword,Keywords, --,Campaign,Phrase match
"""windsor colorado""",Keyword,Keywords, --,Campaign,Phrase match
"""can you""",Keyword,Keywords, --,Campaign,Phrase match
[safelite autoglass],Keyword,Keywords, --,Campaign,Exact match
"""greeley co""",Keyword,Keywords, --,Campaign,Phrase match
"""kansas city""",Keyword,Keywords, --,Campaign,Phrase match
employment,Keyword,Keywords, --,Campaign,Broad match
[harding auto glass],Keyword,Keywords, --,Campaign,Exact match
[oe glass],Keyword,Keywords, --,Campaign,Exact match
"""windsor co""",Keyword,Keywords, --,Campaign,Phrase match
"""windshield kit""",Keyword,Keywords, --,Campaign,Phrase match
[safe life],Keyword,Keywords, --,Campaign,Exact match
"""arvada""",Keyword,Keywords, --,Campaign,Phrase match
[crack attack auto glass],Keyword,Keywords, --,Campaign,Exact match
[mountain state glass],Keyword,Keywords, --,Campaign,Exact match
"""windshield replacement lodi""",Keyword,Keywords, --,Campaign,Phrase match
[spring auto glass],Keyword,Keywords, --,Campaign,Exact match
"""armored glass""",Keyword,Keywords, --,Campaign,Phrase match
"""vidrios para carros""",Keyword,Keywords, --,Campaign,Phrase match
"""sliding door""",Keyword,Keywords, --,Campaign,Phrase match
[west elk windshields],Keyword,Keywords, --,Campaign,Exact match
[polaris autoglass],Keyword,Keywords, --,Campaign,Exact match
"""camper shell glass""",Keyword,Keywords, --,Campaign,Phrase match
[platinum auto glass],Keyword,Keywords, --,Campaign,Exact match
[rams glass],Keyword,Keywords, --,Campaign,Exact match
"""residential glass""",Keyword,Keywords, --,Campaign,Phrase match
"""rv windshield""",Keyword,Keywords, --,Campaign,Phrase match
[low price auto glass],Keyword,Keywords, --,Campaign,Exact match
"""windshield tinting""",Keyword,Keywords, --,Campaign,Phrase match
"""triple a""",Keyword,Keywords, --,Campaign,Phrase match
[fesler auto glass],Keyword,Keywords, --,Campaign,Exact match
[right choice auto glass],Keyword,Keywords, --,Campaign,Exact match
[snow auto glass],Keyword,Keywords, --,Campaign,Exact match
[satellite glass],Keyword,Keywords, --,Campaign,Exact match
[1800 windshield],Keyword,Keywords, --,Campaign,Exact match
[safe flight],Keyword,Keywords, --,Campaign,Exact match
"""commerce city""",Keyword,Keywords, --,Campaign,Phrase match
[safelight],Keyword,Keywords, --,Campaign,Exact match
"""lamar colorado""",Keyword,Keywords, --,Campaign,Phrase match
"""kenworth""",Keyword,Keywords, --,Campaign,Phrase match
careers,Keyword,Keywords, --,Campaign,Broad match
[latino's auto glass],Keyword,Keywords, --,Campaign,Exact match
"""windshield calibration""",Keyword,Keywords, --,Campaign,Phrase match
"""truck cap glass""",Keyword,Keywords, --,Campaign,Phrase match
[tavos auto glass],Keyword,Keywords, --,Campaign,Exact match
"""greeley colorado""",Keyword,Keywords, --,Campaign,Phrase match
[safe lite],Keyword,Keywords, --,Campaign,Exact match
"""shower door""",Keyword,Keywords, --,Campaign,Phrase match
"""how to""",Keyword,Keywords, --,Campaign,Phrase match
wyoming,Keyword,Keywords, --,Campaign,Broad match
wholesale,Keyword,Keywords, --,Campaign,Broad match
texas,Keyword,Keywords, --,Campaign,Broad match
"""does aaa cover""",Keyword,Keywords, --,Campaign,Phrase match
[windshield express],Keyword,Keywords, --,Campaign,Exact match
"""evergreen co""",Keyword,Keywords, --,Campaign,Phrase match
"""storefront glass""",Keyword,Keywords, --,Campaign,Phrase match
"""should i""",Keyword,Keywords, --,Campaign,Phrase match
