Top pages,Clicks,Impressions,CTR,Position
https://pinkautoglass.com/,3,48,6.25%,44.54
https://pinkautoglass.com/locations/denver-co,1,107,0.93%,66.92
https://www.pinkautoglass.com/services/mobile-service,0,46,0%,67.7
https://pinkautoglass.com/locations/aurora-co,0,42,0%,38.88
https://pinkautoglass.com/services/insurance-claims,0,35,0%,74.89
https://www.pinkautoglass.com/services/windshield-repair,0,32,0%,61.47
https://pinkautoglass.com/services/windshield-repair,0,28,0%,76.29
https://pinkautoglass.com/locations/boulder-co,0,21,0%,50.52
https://pinkautoglass.com/locations/fort-collins-co,0,19,0%,37.37
https://pinkautoglass.com/locations/colorado-springs-co,0,18,0%,56.94
https://www.pinkautoglass.com/locations/colorado-springs-co,0,17,0%,65.47
https://pinkautoglass.com/locations/lakewood-co,0,10,0%,38.3
https://www.pinkautoglass.com/services/adas-calibration,0,9,0%,50
https://pinkautoglass.com/contact,0,8,0%,25.5
https://pinkautoglass.com/locations,0,6,0%,13.17
https://pinkautoglass.com/vehicles,0,5,0%,16.4
https://www.pinkautoglass.com/vehicles/brands/subaru,0,5,0%,47.2
https://www.pinkautoglass.com/vehicles/toyota-rav4-windshield-replacement-denver,0,4,0%,36.75
https://www.pinkautoglass.com/,0,4,0%,37.5
https://pinkautoglass.com/services/mobile-service,0,4,0%,54.5
https://pinkautoglass.com/services,0,3,0%,2.33
https://pinkautoglass.com/vehicles/jeep-wrangler-windshield-replacement-denver,0,3,0%,11.33
https://pinkautoglass.com/about,0,2,0%,3.5
https://pinkautoglass.com/vehicles/tesla-model-y-windshield-replacement-denver,0,2,0%,6
https://pinkautoglass.com/vehicles/chevrolet-silverado-windshield-replacement-denver,0,2,0%,8
https://www.pinkautoglass.com/vehicles/brands/nissan,0,2,0%,53
https://pinkautoglass.com/vehicles/subaru-forester-windshield-replacement-denver,0,1,0%,4
https://pinkautoglass.com/vehicles/subaru-outback-windshield-replacement-denver,0,1,0%,5
https://pinkautoglass.com/locations/parker-co,0,1,0%,6
https://pinkautoglass.com/vehicles/brands/honda,0,1,0%,7
https://pinkautoglass.com/track,0,1,0%,8
https://pinkautoglass.com/vehicles/brands/nissan,0,1,0%,8
https://pinkautoglass.com/vehicles/toyota-camry-windshield-replacement-denver,0,1,0%,9
https://pinkautoglass.com/vehicles/hyundai-elantra-windshield-replacement-denver,0,1,0%,10
https://pinkautoglass.com/vehicles/brands/tesla,0,1,0%,11
https://pinkautoglass.com/blog,0,1,0%,12
https://pinkautoglass.com/vehicles/brands/subaru,0,1,0%,24
https://pinkautoglass.com/locations/arvada-co,0,1,0%,29
https://www.pinkautoglass.com/locations/centennial-co,0,1,0%,30
https://pinkautoglass.com/services/adas-calibration,0,1,0%,35
https://www.pinkautoglass.com/services/insurance-claims,0,1,0%,96
