Negative Keyword,Match Type
safelite,Exact
safelight,Exact
savelite,Exact
sade lite,Exact
safe lite,Exact
safe life,Exact
safe flight,Exact
jiffy lube,Exact
jiffy glass,Exact
jiffy auto glass,Exact
jiffy windshield,Exact
auto glass now,Phrase
pilkington,Exact
tavos,Phrase
tavo,Phrase
tabos,Phrase
anders auto glass,Exact
anders,Phrase
primos auto glass,Exact
primos,Phrase
los primos,Phrase
native auto glass,Exact
native,Phrase
satellite autoglass,Exact
satellite glass,Exact
satellite window,Phrase
snow auto glass,Exact
snow,Phrase
quick set,Phrase
quickset,Phrase
precision auto glass,Phrase
elite auto glass,Phrase
service auto glass,Phrase
absolute auto glass,Phrase
bear creek auto glass,Exact
bright auto glass,Exact
starlite,Phrase
latinos auto glass,Exact
latino's auto glass,Exact
morales auto glass,Exact
lynx auto glass,Exact
grand auto glass,Exact
master auto glass,Exact
andy's auto glass,Exact
slingshot auto glass,Exact
rams glass,Exact
ram glass,Exact
glass masters,Phrase
rocky auto glass,Exact
quality glass,Exact
rainbow auto glass,Exact
affiliated auto glass,Exact
clearview,Phrase
first glass,Phrase
right choice,Phrase
top notch,Phrase
patriot glass,Exact
hd auto glass,Exact
slp auto glass,Exact
ar auto glass,Exact
anchor auto glass,Exact
van go,Phrase
peak view,Phrase
peakview,Phrase
aarons auto glass,Exact
mygrant,Phrase
bob's auto glass,Exact
j&k auto glass,Exact
asap auto glass,Exact
innova,Phrase
jb auto glass,Exact
city glass,Phrase
handy glass,Exact
extreme 1,Phrase
unique auto glass,Exact
cornerstone auto glass,Exact
soco auto glass,Exact
soco windshield,Phrase
deco windshield,Phrase
deco chip,Phrase
50 off auto glass,Exact
nova windshield,Phrase
kwikset,Phrase
driven auto glass,Exact
migrant auto glass,Exact
a better windshield,Exact
neste auto glass,Exact
auto glass usa,Exact
insight auto glass,Exact
action auto glass,Exact
windshield express,Exact
montrose auto glass,Exact
dependable auto glass,Exact
dales auto glass,Exact
jd auto glass,Exact
prestige auto glass,Exact
apex auto glass,Exact
spring auto glass,Exact
auto city classic,Phrase
elevated auto glass,Exact
autoplex,Phrase
morey's glass,Exact
morey's,Phrase
polaris auto glass,Exact
polaris autoglass,Exact
gunnison auto glass,Exact
west elk windshields,Exact
arch auto glass,Exact
tier one,Phrase
tier 1,Phrase
hearts auto glass,Exact
mountain state glass,Exact
skyline auto glass,Exact
astro glass,Exact
glasspro,Exact
autoglass pro,Exact
mountain aire,Phrase
summit auto glass,Exact
united glass service,Exact
safeway auto glass,Exact
snappy windshield,Exact
budget glass,Exact
