Search terms report
All time
Search term,Match type,Added/Excluded,Campaign,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
1994 toyota pickup windshield replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement in greeley,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
colorado auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
tier 1 auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car windshield replacement near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement boulder,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass man,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass colorado springs,Performance Max,None,Campaign #1,0,12,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
safe flight auto glass repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
express glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement colorado springs,Performance Max,None,Campaign #1,1,13,7.69%,USD,2.96,2.96,Performance Max,0.00%,0.00,0.00
truck back window replacement cost,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
tavos autoglass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
the windshield doctor,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
crystal auto glass,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
jiffy glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
montrose auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield chip repair,Performance Max,None,Campaign #1,0,14,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
new car window cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
jd auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto windshield replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair denver,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
van go auto glass inc,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
elite auto glass near me,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
capital auto glass lincoln ne,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car windshield replacement denver,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile windshield replacement denver,Performance Max,None,Campaign #1,1,3,33.33%,USD,2.49,2.49,Performance Max,0.00%,0.00,0.00
audi s5 windshield replacement,Performance Max,None,Campaign #1,1,1,100.00%,USD,4.30,4.30,Performance Max,0.00%,0.00,0.00
deco windshield repair,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
kwikset auto glass,Performance Max,None,Campaign #1,0,5,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
nova windshield repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
vidrios para carros,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield fix near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
extreme 1 auto glass,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
rc and c auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
autoplex northglenn,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto windshield,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
chip rock repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair in colorado springs,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car window replacement near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
andy's auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
back windshield repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair colorado springs,Performance Max,None,Campaign #1,0,6,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
safety windshield replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
rocky auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair in grand junction,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
