id,make,created_at
1,Toyota,2025-10-17 21:54:56.508625+00
2,Honda,2025-10-17 21:54:56.508625+00
3,Ford,2025-10-17 21:54:56.508625+00
4,Chevrolet,2025-10-17 21:54:56.508625+00
5,Nissan,2025-10-17 21:54:56.508625+00
6,Hyundai,2025-10-17 21:54:56.508625+00
7,Kia,2025-10-17 21:54:56.508625+00
8,Jeep,2025-10-17 21:54:56.508625+00
9,Ram,2025-10-17 21:54:56.508625+00
10,GMC,2025-10-17 21:54:56.508625+00
11,Subaru,2025-10-17 21:54:56.508625+00
12,Volkswagen,2025-10-17 21:54:56.508625+00
13,Mazda,2025-10-17 21:54:56.508625+00
14,Dodge,2025-10-17 21:54:56.508625+00
15,Chrysler,2025-10-17 21:54:56.508625+00
16,BMW,2025-10-17 21:54:56.508625+00
17,Mercedes-Benz,2025-10-17 21:54:56.508625+00
18,Audi,2025-10-17 21:54:56.508625+00
19,Lexus,2025-10-17 21:54:56.508625+00
20,Acura,2025-10-17 21:54:56.508625+00
21,Infiniti,2025-10-17 21:54:56.508625+00
22,Cadillac,2025-10-17 21:54:56.508625+00
23,Tesla,2025-10-17 21:54:56.508625+00
24,Volvo,2025-10-17 21:54:56.508625+00
25,Land Rover,2025-10-17 21:54:56.508625+00
26,Mitsubishi,2025-10-17 21:54:56.508625+00
27,Buick,2025-10-17 21:54:56.508625+00
28,Lincoln,2025-10-17 21:54:56.508625+00
29,Mini,2025-10-17 21:54:56.508625+00
30,Fiat,2025-10-17 21:54:56.508625+00
31,Alfa Romeo,2025-10-17 21:54:56.508625+00
32,Genesis,2025-10-17 21:54:56.508625+00
33,Porsche,2025-10-17 21:54:56.508625+00
34,Jaguar,2025-10-17 21:54:56.508625+00
35,Maserati,2025-10-17 21:54:56.508625+00
36,Aston Martin,2025-10-17 21:54:56.508625+00
37,Bentley,2025-10-17 21:54:56.508625+00
38,Rolls-Royce,2025-10-17 21:54:56.508625+00
39,Lamborghini,2025-10-17 21:54:56.508625+00
40,Ferrari,2025-10-17 21:54:56.508625+00
