id,make_id,model,created_at
1,1,4Runner,2025-10-17 21:54:56.508625+00
2,1,Avalon,2025-10-17 21:54:56.508625+00
3,1,C-HR,2025-10-17 21:54:56.508625+00
4,1,Camry,2025-10-17 21:54:56.508625+00
5,1,Celica,2025-10-17 21:54:56.508625+00
6,1,Corolla,2025-10-17 21:54:56.508625+00
7,1,Corolla Cross,2025-10-17 21:54:56.508625+00
8,1,Crown,2025-10-17 21:54:56.508625+00
9,1,Echo,2025-10-17 21:54:56.508625+00
10,1,FJ Cruiser,2025-10-17 21:54:56.508625+00
11,1,GR Corolla,2025-10-17 21:54:56.508625+00
12,1,GR86,2025-10-17 21:54:56.508625+00
13,1,Grand Highlander,2025-10-17 21:54:56.508625+00
14,1,Highlander,2025-10-17 21:54:56.508625+00
15,1,Land Cruiser,2025-10-17 21:54:56.508625+00
16,1,Matrix,2025-10-17 21:54:56.508625+00
17,1,Mirai,2025-10-17 21:54:56.508625+00
18,1,Prius,2025-10-17 21:54:56.508625+00
19,1,Prius C,2025-10-17 21:54:56.508625+00
20,1,Prius Prime,2025-10-17 21:54:56.508625+00
21,1,Prius V,2025-10-17 21:54:56.508625+00
22,1,RAV4,2025-10-17 21:54:56.508625+00
23,1,RAV4 Prime,2025-10-17 21:54:56.508625+00
24,1,Sequoia,2025-10-17 21:54:56.508625+00
25,1,Sienna,2025-10-17 21:54:56.508625+00
26,1,Supra,2025-10-17 21:54:56.508625+00
27,1,Tacoma,2025-10-17 21:54:56.508625+00
28,1,Tundra,2025-10-17 21:54:56.508625+00
29,1,Venza,2025-10-17 21:54:56.508625+00
30,1,Yaris,2025-10-17 21:54:56.508625+00
31,2,Accord,2025-10-17 21:54:56.508625+00
32,2,Accord Crosstour,2025-10-17 21:54:56.508625+00
33,2,CR-V,2025-10-17 21:54:56.508625+00
34,2,CR-Z,2025-10-17 21:54:56.508625+00
35,2,Civic,2025-10-17 21:54:56.508625+00
36,2,Civic Si,2025-10-17 21:54:56.508625+00
37,2,Civic Type R,2025-10-17 21:54:56.508625+00
38,2,Clarity,2025-10-17 21:54:56.508625+00
39,2,Element,2025-10-17 21:54:56.508625+00
40,2,Fit,2025-10-17 21:54:56.508625+00
41,2,HR-V,2025-10-17 21:54:56.508625+00
42,2,Insight,2025-10-17 21:54:56.508625+00
43,2,Odyssey,2025-10-17 21:54:56.508625+00
44,2,Passport,2025-10-17 21:54:56.508625+00
45,2,Pilot,2025-10-17 21:54:56.508625+00
46,2,Ridgeline,2025-10-17 21:54:56.508625+00
47,2,S2000,2025-10-17 21:54:56.508625+00
48,3,Bronco,2025-10-17 21:54:56.508625+00
49,3,Bronco Sport,2025-10-17 21:54:56.508625+00
50,3,C-Max,2025-10-17 21:54:56.508625+00
51,3,Crown Victoria,2025-10-17 21:54:56.508625+00
52,3,Edge,2025-10-17 21:54:56.508625+00
53,3,Ecosport,2025-10-17 21:54:56.508625+00
54,3,Escape,2025-10-17 21:54:56.508625+00
55,3,Excursion,2025-10-17 21:54:56.508625+00
56,3,Expedition,2025-10-17 21:54:56.508625+00
57,3,Explorer,2025-10-17 21:54:56.508625+00
58,3,Explorer Sport Trac,2025-10-17 21:54:56.508625+00
59,3,F-150,2025-10-17 21:54:56.508625+00
60,3,F-250,2025-10-17 21:54:56.508625+00
